POS,NO,DRIVER,CAR,Q1,Q2,Q3,LAPS,RACE_NO,SEASON,TRACK
5,33,Max Verstappen,RED BULL RACING TAG HEUER,1:42.544,1:41.961,1:41.879,22,8,2017,Baku City Circuit
6,11,Sergio Perez,FORCE INDIA MERCEDES,1:43.162,1:42.467,1:42.111,21,8,2017,Baku City Circuit
7,31,Esteban Ocon,FORCE INDIA MERCEDES,1:43.051,1:42.751,1:42.186,21,8,2017,Baku City Circuit
8,18,Lance Stroll,WILLIAMS MERCEDES,1:43.613,1:42.284,1:42.753,21,8,2017,Baku City Circuit
9,19,Felipe Massa,WILLIAMS MERCEDES,1:43.165,1:42.735,1:42.798,22,8,2017,Baku City Circuit
10,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:42.857,1:42.215,1:43.414,20,8,2017,Baku City Circuit
11,26,Daniil Kvyat,TORO ROSSO,1:42.927,1:43.186,,19,8,2017,Baku City Circuit
12,55,Carlos Sainz,TORO ROSSO,1:43.489,1:43.347,,20,8,2017,Baku City Circuit
13,20,Kevin Magnussen,HAAS FERRARI,1:44.029,1:43.796,,18,8,2017,Baku City Circuit
14,27,Nico Hulkenberg,RENAULT,1:43.930,1:44.267,,12,8,2017,Baku City Circuit
15,94,Pascal Wehrlein,SAUBER FERRARI,1:44.317,1:44.603,,18,8,2017,Baku City Circuit
16,14,Fernando Alonso,MCLAREN HONDA,1:44.334,,,9,8,2017,Baku City Circuit
17,8,Romain Grosjean,HAAS FERRARI,1:44.468,,,10,8,2017,Baku City Circuit
18,9,Marcus Ericsson,SAUBER FERRARI,1:44.795,,,10,8,2017,Baku City Circuit
19,2,Stoffel Vandoorne,MCLAREN HONDA,1:45.030,,,8,8,2017,Baku City Circuit
20,30,Jolyon Palmer,RENAULT,DNF,,,0,8,2017,Baku City Circuit
1,77,Valtteri Bottas,MERCEDES,1:05.760,1:04.316,1:04.251,18,9,2017,Red Bull Ring
2,5,Sebastian Vettel,FERRARI,1:05.585,1:04.772,1:04.293,17,9,2017,Red Bull Ring
3,44,Lewis Hamilton,MERCEDES,1:05.064,1:04.800,1:04.424,17,9,2017,Red Bull Ring
4,7,Kimi Räikkönen,FERRARI,1:05.148,1:05.004,1:04.779,17,9,2017,Red Bull Ring
5,3,Daniel Ricciardo,RED BULL RACING TAG HEUER,1:05.854,1:05.161,1:04.896,22,9,2017,Red Bull Ring
6,33,Max Verstappen,RED BULL RACING TAG HEUER,1:05.779,1:04.948,1:04.983,16,9,2017,Red Bull Ring
7,8,Romain Grosjean,HAAS FERRARI,1:05.902,1:05.319,1:05.480,30,9,2017,Red Bull Ring
8,11,Sergio Perez,FORCE INDIA MERCEDES,1:05.975,1:05.435,1:05.605,21,9,2017,Red Bull Ring
9,31,Esteban Ocon,FORCE INDIA MERCEDES,1:06.033,1:05.550,1:05.674,22,9,2017,Red Bull Ring
10,55,Carlos Sainz,TORO ROSSO,1:05.675,1:05.544,1:05.726,23,9,2017,Red Bull Ring
11,27,Nico Hulkenberg,RENAULT,1:06.174,1:05.597,,16,9,2017,Red Bull Ring
12,14,Fernando Alonso,MCLAREN HONDA,1:06.158,1:05.602,,14,9,2017,Red Bull Ring
